geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00000811	core	D			
GC00003456	shell	S			
GC00003803	shell	X			
GC00004813	shell	V			
GC00002383	shell	P			
GC00004812	shell	S			
GC00003457	shell	L			
GC00002256	shell	X			
GC00007325	cloud	X			
GC00005475	shell	X			
GC00004811	shell	X			
GC00007890	cloud	S			
GC00003805	shell	X			
GC00001304	core	I			
GC00004810	shell	X			
GC00005472	shell	X			
GC00007327	cloud	X			
GC00003455	shell	S			
GC00005700	cloud	X			
GC00000810	core	T			
GC00006333	cloud	X			
GC00000963	core	J			
GC00000794	core	S			
GC00005473	shell	X			
GC00003179	shell	X			
GC00001706	shell	F			
GC00003807	shell	X			
GC00004034	shell	X			
GC00005470	shell	S			
GC00003178	shell	X			
GC00002856	shell	X			
GC00007668	cloud	X			
GC00004037	shell	M			
GC00007665	cloud	S			
GC00007664	cloud	X			
GC00007667	cloud	X			
GC00007666	cloud	X			
GC00005471	shell	X			
GC00007661	cloud	M			
GC00005701	cloud	X			
GC00004256	shell	X			
GC00007660	cloud	X			
GC00004036	shell	X			
GC00005702	cloud	X			
GC00007663	cloud	X			
GC00002851	shell	X			
GC00007662	cloud	X			
GC00006532	cloud	X			
GC00006533	cloud	X			
GC00005114	shell	T			
GC00003170	shell	X			
GC00006530	cloud	X			
GC00006531	cloud	X			
GC00004031	shell	X			
GC00006288	cloud	K			
GC00000690	core	H			
GC00002125	shell	S			
GC00002850	shell	K			
GC00006537	cloud	S			
GC00006534	cloud	S			
GC00006535	cloud	X			
GC00006284	cloud	X			
GC00006285	cloud	X			
GC00003173	shell	S			
GC00006286	cloud	X			
GC00006287	cloud	V			
GC00001707	shell	F			
GC00004030	shell	W			
GC00006280	cloud	U			
GC00001637	shell	S			
GC00000962	core	I			
GC00006281	cloud	X			
GC00006282	cloud	X			
GC00000893	core	H			
GC00003172	shell	X			
GC00006112	cloud	X			
GC00006283	cloud	K			
GC00002979	shell	E			
GC00002124	shell	S			
GC00004033	shell	X			
GC00000817	core	L			
GC00003175	shell	X			
GC00003174	shell	X			
GC00001483	softcore	T			
GC00000848	core	J			
GC00002976	shell	X			
GC00002147	shell	G			
GC00000961	core	O			
GC00003177	shell	X			
GC00002258	shell	X			
GC00002387	shell	P			
GC00002977	shell	S			
GC00001188	core	E			
GC00003176	shell	X			
GC00000849	core	J			
GC00002975	shell	X			
GC00001238	core	K			
GC00004819	shell	X			
GC00002972	shell	M			
GC00004818	shell	X			
GC00007492	cloud	X			
